resume_id,split,masco_code,masco_role_title,premerge_masco_code,sparsity_action,source_parent_role_id,target_esco_code,target_esco_title,previous_esco_codes,text,compose_text_format
94079,test,243136,Marketing Officer,243136,retained_granular_class,R04,2431.10.3,marketing assistant,1222.1,"title communication manager ; skills developing professional relationships or networks, advising and consulting, using digital tools for collaboration and productivity ; duration 1.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
100888,train,283302,Translator,283302,retained_granular_class,R05,2643.6,translator,2310.1.5,"title assistant lecturer ; skills conducting academic or market research, teaching academic or vocational subjects, teaching and training ; duration 2.75 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
100934,train,252416,Business Data Analyst,252416,retained_granular_class,R02,2511.9,ICT business analyst,1213.5;1211.1.1;2411.1;2411.1.8,"title 1213.5 ; duration 3.00 years || title accounting manager ; skills managing budgets or finances, analysing financial and economic data, monitoring financial and economic resources and activity ; duration 0.50 years || title accountant ; skills managing budgets or finances, preparing financial documents, records, reports, or budgets, analysing financial and economic data ; duration 0.50 years || title financial controller ; skills managing budgets or finances, preparing financial documents, records, reports, or budgets, analysing financial and economic data ; duration 0.50 years || education phd",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
101958,train,254309,Character Designer,254309,retained_granular_class,R06,2166.2,animation layout artist,2166.10,"title illustrator ; skills collaborating and liaising, creating artistic designs or performances, analysing and evaluating information and data ; duration 1.50 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
102089,train,243136,Marketing Officer,243136,retained_granular_class,R04,2431.10.3,marketing assistant,3343.1,"title administrative assistant ; skills performing general clerical and administrative tasks, planning events and programmes, managing, gathering and storing digital data ; duration 2.25 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
102156,train,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,3341.7,"title office manager ; skills performing general clerical and administrative tasks, managing and administering human resources, giving instructions ; duration 8.25 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
104105,train,243121,Business Development Executive,243121,retained_granular_class,R04,2431.5,business developer,2359.7,"title e-learning developer ; skills developing educational programmes, managing information, using digital tools for collaboration and productivity ; duration 4.50 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
105569,train,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,2330.1.15;3422.3.1,"title physical education teacher secondary school ; skills monitoring and evaluating the performance of individuals, teaching and training, collaborating and liaising ; duration 1.25 years || title football coach ; skills coaching and mentoring, practising sports, supervising a team or group ; duration 1.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
105884,train,243135,Digital Marketing Executive,243135,retained_granular_class,R04,2431.10.4,online marketer,1349.14,"title front of house manager ; skills supervising a team or group, complying with health and safety procedures, maintaining and enforcing physical security ; duration 6.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
106207,train,242321,Talent Acquisition Consultant,242321,retained_granular_class,R03,2423.6,recruitment consultant,2423.6,"title recruitment consultant ; skills protecting privacy and personal data, recruiting and hiring, developing professional relationships or networks ; duration 1.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
106798,train,431110,Account and Promotion Clerk,431110,retained_granular_class,R07,4311.2,sales support assistant,2431.6,"title client relations manager ; skills developing professional relationships or networks, analysing business operations, directing operational activities ; duration 1.25 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
107156,train,243135,Digital Marketing Executive,243101,merged_to_six_digit_curated_anchor,R04,2431.1,advertising copywriter,1219.6;2431.10.4,"title project manager ; skills planning events and programmes, allocating and controlling physical resources, technical or academic writing ; duration 1.75 years || title online marketer ; skills promoting products, services, or programs, developing financial, business or marketing plans, using digital tools for collaboration and productivity ; duration 1.25 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
107685,train,231109,Tutor,231109,retained_granular_class,R10,2359.1,academic advisor,1219.6,"title project manager ; skills planning events and programmes, allocating and controlling physical resources, technical or academic writing ; duration 3.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
107701,train,242323,Human Resource Officer,242309,merged_to_six_digit_curated_anchor,R03,2423.1,career guidance advisor,5164.2.1.2,"title horse trainer ; skills training animals, tending and breeding animals, advising on products and services ; duration 1.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
107806,train,252403,Data Analyst,252406,merged_to_six_digit_curated_anchor,R02,2511.6,enterprise architect,1221.4,"title commercial director ; skills developing professional relationships or networks, supervising a team or group, promoting products, services, or programs ; duration 1.75 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
108025,train,431110,Account and Promotion Clerk,431110,retained_granular_class,R07,4311.2,sales support assistant,5223.5,"title sales processor ; skills managing, gathering and storing digital data, entering and transforming information, organising, planning and scheduling work and activities ; duration 1.25 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
108052,train,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,5242.1,"title promotions demonstrator ; skills promoting products, services, or programs, selling products or services, developing professional relationships or networks ; duration 6.75 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
108680,train,242321,Talent Acquisition Consultant,242321,retained_granular_class,R03,2423.6,recruitment consultant,1412.1,"title restaurant manager ; skills monitoring operational activities, serving food and drinks, developing recipes or menus ; duration 2.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
109327,train,243135,Digital Marketing Executive,243135,retained_granular_class,R04,2431.10.4,online marketer,2166.7,"title digital media designer ; skills managing, gathering and storing digital data, using digital tools for processing sound and images, using digital tools for collaboration and productivity ; duration 0.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
110845,train,422207,Customer Contact Centre Information Clerk,422207,retained_granular_class,R08,4222.1,customer contact centre information clerk,3512.1;3512.1,"title ict help desk agent ; skills planning events and programmes, providing general assistance to people, resolving computer problems ; duration 1.25 years || title ict help desk agent ; skills planning events and programmes, providing general assistance to people, resolving computer problems ; duration 1.75 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
112388,train,431110,Account and Promotion Clerk,431110,retained_granular_class,R07,4311.2,sales support assistant,4120.1,"title secretary ; skills performing general clerical and administrative tasks, managing, gathering and storing digital data, communicating with colleagues and clients ; duration 1.25 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
112962,train,243121,Business Development Executive,243121,retained_granular_class,R04,2431.5,business developer,2433.2;4222.1,"title medical sales representative ; skills providing medical advice, planning events and programmes, developing financial, business or marketing plans ; duration 4.75 years || title customer contact centre information clerk ; skills developing professional relationships or networks, providing general assistance to people, providing information to the public and clients ; duration 2.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
11337,train,431110,Account and Promotion Clerk,431110,retained_granular_class,R07,4311.2,sales support assistant,3313.2,"title bookkeeper ; skills preparing financial documents, records, reports, or budgets, executing financial transactions, managing budgets or finances ; duration 0.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
114121,train,254302,Graphic Designer,254302,retained_granular_class,R06,2166.9,graphic designer,7316.1,"title decorative painter ; skills creating artistic designs or performances, creating artistic, visual or instructive materials, creating visual displays and decorations ; duration 8.75 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
114665,train,242321,Talent Acquisition Consultant,242321,retained_granular_class,R03,2423.6,recruitment consultant,3343.1,"title administrative assistant ; skills performing general clerical and administrative tasks, planning events and programmes, managing, gathering and storing digital data ; duration 1.25 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
115616,train,254309,Character Designer,254309,retained_granular_class,R06,2166.14,stop-motion animator,2166.14,"title stop-motion animator ; skills operating audio-visual equipment, conducting academic or market research, organising, planning and scheduling work and activities ; duration 1.25 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
115679,train,231109,Tutor,231109,retained_granular_class,R10,2359.14,tutor,2352.1;2352.1.6,"title special educational needs teacher ; skills caring for children, coaching and mentoring, monitoring and evaluating the performance of individuals ; duration 0.75 years || title special educational needs teacher secondary school ; skills monitoring and evaluating the performance of individuals, teaching and training, collaborating and liaising ; duration 0.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
115976,train,243121,Business Development Executive,243121,retained_granular_class,R04,2431.6,client relations manager,5244.1,"title call centre agent ; skills developing solutions, providing general assistance to people, listening and asking questions ; duration 0.50 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
117366,train,431110,Account and Promotion Clerk,431110,retained_granular_class,R07,4311.2,sales support assistant,7231.6,"title roadside vehicle technician ; skills repairing and installing mechanical equipment, developing professional relationships or networks, maintaining operational records ; duration 0.50 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
118122,train,243121,Business Development Executive,243121,retained_granular_class,R04,2431.6,client relations manager,5223.6,"title shop assistant ; skills executing financial transactions, selling products or services, packaging objects ; duration 1.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
11904,train,431118,Billing Clerk,431118,retained_granular_class,R07,4311.1,billing clerk,1349.6,"title book publisher ; skills developing professional relationships or networks, analysing and evaluating information and data, technical or academic writing ; duration 2.50 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
120860,train,422207,Customer Contact Centre Information Clerk,422207,retained_granular_class,R08,4222.1,customer contact centre information clerk,3343.1.7,"title supply chain assistant ; skills performing general clerical and administrative tasks, analysing business operations, monitoring operational activities ; duration 1.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
121811,train,242321,Talent Acquisition Consultant,242321,retained_granular_class,R03,2423.6,recruitment consultant,5223.4;3343.1.7,"title sales assistant ; skills providing general assistance to people, executing financial transactions, selling products or services ; duration 1.50 years || title supply chain assistant ; skills performing general clerical and administrative tasks, analysing business operations, monitoring operational activities ; duration 0.50 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
123671,train,252403,Data Analyst,252418,merged_to_six_digit_curated_anchor,R02,2511.16,ICT system integration consultant,1324.3.1.5,"title road transport division manager ; skills planning production processes, managing transport and logistics activities, supervising a team or group ; duration 4.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
123719,train,243121,Business Development Executive,243121,retained_granular_class,R04,2431.6,client relations manager,2433.1,"title after-sales service technician ; skills promoting products, services, or programs, providing general assistance to people, developing solutions ; duration 1.25 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
126744,train,412107,Secretary,412107,retained_granular_class,R09,4120.1,secretary,2431.6,"title client relations manager ; skills developing professional relationships or networks, analysing business operations, directing operational activities ; duration 16.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
127253,train,243135,Digital Marketing Executive,243135,retained_granular_class,R04,2431.10.4,online marketer,5131.2;3422.4.1;2431.1,"title waiter/waitress ; skills serving food and drinks, preparing food and drinks, advising on products and services ; duration 3.50 years || title boxing instructor ; skills monitoring and evaluating the performance of individuals, practising sports, diagnosing health conditions ; duration 2.50 years || title advertising copywriter ; skills conducting academic or market research, using digital tools for collaboration and productivity, writing and composing ; duration 0.50 years || education no tertiary qualification",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
127477,train,251201,Software Developer,251201,retained_granular_class,R01,2512.4,software developer,2330.1.9,"title ict teacher secondary school ; skills monitoring and evaluating the performance of individuals, teaching and training, developing instructive or promotional materials ; duration 1.25 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
128679,train,283303,Interpreter,283303,retained_granular_class,R05,2643.2,interpreter,2659.2.3;7215.1.1,"title puppeteer ; skills performing artistic or cultural activities, creating artistic designs or performances, working in teams ; duration 7.50 years || title stagehand ; skills complying with health and safety procedures, building and repairing structures, creating visual displays and decorations ; duration 2.50 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
130409,train,243136,Marketing Officer,243136,retained_granular_class,R04,2431.10.3,marketing assistant,3423.1;5131.1;2631.2.3;9629.7,"title activity leader ; skills planning events and programmes, caring for children, performing risk analysis and management ; duration 10.50 years || title restaurant host/restaurant hostess ; skills accompanying and welcoming people, advising on products and services, promoting products, services, or programs ; duration 10.50 years || title economic development coordinator ; skills developing professional relationships or networks, advising on legal, regulatory or procedural matters, collaborating and liaising ; duration 6.50 years || title usher ; skills accompanying and welcoming people, maintaining and enforcing physical security, providing information to the public and clients ; duration 4.25 years || education master",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
130696,train,242321,Talent Acquisition Consultant,242321,retained_granular_class,R03,2423.6,recruitment consultant,5112.3.1,"title passenger fare controller ; skills accompanying and welcoming people, executing financial transactions, providing information to the public and clients ; duration 1.50 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
133445,train,243110,Marketing Communications Specialist,243110,retained_granular_class,R04,2431.10,marketing consultant,2166.7,"title digital media designer ; skills managing, gathering and storing digital data, using digital tools for processing sound and images, using digital tools for collaboration and productivity ; duration 11.50 years || education secondary school",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
133921,train,243135,Digital Marketing Executive,243114,merged_to_six_digit_curated_anchor,R04,2431.15,product and services manager,1412.1,"title restaurant manager ; skills monitoring operational activities, serving food and drinks, developing recipes or menus ; duration 3.25 years || education bachelor",prior ESCO title + top three ESCO skill groups + duration; latest education; latest target excluded
