esco_code,esco_title,normalized_title,esco_occupation_uri,esco_title_matrix,top_skill_groups,top_skill_groups_weighted,top_skill_count,mapping_status,masco_candidate_code,masco_unit_group_title_en,masco_mapping_status,jobhop_record_count,work_length_median_years,work_length_mean_years,work_length_p25_years,work_length_p75_years
0310.4,intelligence communications interceptor,intelligence communications interceptor,http://data.europa.eu/esco/occupation/35e67944-231e-4bc9-8c69-560f203167ff,intelligence communications interceptor,"operating communications equipment | gathering information from physical or electronic sources | communicating with colleagues and clients | managing, gathering and storing digital data | evaluating systems, programmes, equipment and products | analysing scientific and medical data | technical or academic writing | ensuring compliance with legislation | managing information | using precision measuring equipment | performing risk analysis and management | translating and interpreting","operating communications equipment::0.333333 | gathering information from physical or electronic sources::0.138889 | communicating with colleagues and clients::0.083333 | managing, gathering and storing digital data::0.083333 | evaluating systems, programmes, equipment and products::0.055556 | analysing scientific and medical data::0.055556 | technical or academic writing::0.055556 | ensuring compliance with legislation::0.055556 | managing information::0.055556 | using precision measuring equipment::0.027778 | performing risk analysis and management::0.027778 | translating and interpreting::0.027778",12.0,official_title_exact,0310,,no_candidate,1,2.5,2.5,2.5,2.5
1111,Legislators,legislators,,,,,,no_matrix_title_match,1111,Legislators,isco4_candidate_requires_validation,0,,,,
1111.1,city councillor,city councillor,http://data.europa.eu/esco/occupation/7226c10f-701b-4711-8843-140aace12c6f,city councillor,"developing professional relationships or networks | advocating for individual or community needs | advising on legal, regulatory or procedural matters | mediating and resolving disputes | technical or academic writing | monitoring financial and economic resources and activity | protecting privacy and personal data | analysing and evaluating information and data | promoting products, services, or programs | supervising a team or group | performing general clerical and administrative tasks | management skills | managing budgets or finances | directing, supervising and coordinating projects","developing professional relationships or networks::0.160000 | advocating for individual or community needs::0.120000 | advising on legal, regulatory or procedural matters::0.080000 | mediating and resolving disputes::0.080000 | technical or academic writing::0.080000 | monitoring financial and economic resources and activity::0.080000 | protecting privacy and personal data::0.080000 | analysing and evaluating information and data::0.080000 | promoting products, services, or programs::0.040000 | supervising a team or group::0.040000 | performing general clerical and administrative tasks::0.040000 | management skills::0.040000 | managing budgets or finances::0.040000 | directing, supervising and coordinating projects::0.040000",14.0,official_title_exact,1111,Legislators,isco4_candidate_requires_validation,44,2.5,3.7954545454545454,1.125,5.1875
1111.2,government minister,government minister,http://data.europa.eu/esco/occupation/404a50e9-61ce-448d-a695-bbfc697a0727,government minister,"presenting general information | mediating and resolving disputes | promoting products, services, or programs | making decisions | communicating with colleagues and clients | presenting research or technical information | developing policies and legislation | developing professional relationships or networks | analysing and evaluating information and data | management skills | developing contingency and emergency response plans | monitoring developments in area of expertise | collaborating and liaising | complying with operational procedures | advocating for individual or community needs","presenting general information::0.107143 | mediating and resolving disputes::0.107143 | promoting products, services, or programs::0.071429 | making decisions::0.071429 | communicating with colleagues and clients::0.071429 | presenting research or technical information::0.071429 | developing policies and legislation::0.071429 | developing professional relationships or networks::0.071429 | analysing and evaluating information and data::0.071429 | management skills::0.071429 | developing contingency and emergency response plans::0.071429 | monitoring developments in area of expertise::0.035714 | collaborating and liaising::0.035714 | complying with operational procedures::0.035714 | advocating for individual or community needs::0.035714",15.0,official_title_exact,1111,Legislators,isco4_candidate_requires_validation,0,,,,
1111.3,governor,governor,http://data.europa.eu/esco/occupation/d63789ac-74b5-40e3-b890-685513c38e12,governor,"mediating and resolving disputes | presenting general information | collaborating and liaising | supervising a team or group | complying with operational procedures | monitoring financial and economic resources and activity | management skills | managing budgets or finances | advocating for individual or community needs | advising on legal, regulatory or procedural matters | monitoring developments in area of expertise | developing professional relationships or networks | performing risk analysis and management","mediating and resolving disputes::0.130435 | presenting general information::0.086957 | collaborating and liaising::0.086957 | supervising a team or group::0.086957 | complying with operational procedures::0.086957 | monitoring financial and economic resources and activity::0.086957 | management skills::0.086957 | managing budgets or finances::0.086957 | advocating for individual or community needs::0.086957 | advising on legal, regulatory or procedural matters::0.043478 | monitoring developments in area of expertise::0.043478 | developing professional relationships or networks::0.043478 | performing risk analysis and management::0.043478",13.0,official_title_exact,1111,Legislators,isco4_candidate_requires_validation,3,3.25,5.416666666666667,2.125,7.625
1111.4,mayor,mayor,http://data.europa.eu/esco/occupation/6cee3765-2b3b-48b0-af2b-1eb512d071fd,mayor,"developing professional relationships or networks | advocating for individual or community needs | presenting general information | collaborating and liaising | mediating and resolving disputes | performing general clerical and administrative tasks | complying with operational procedures | management skills | advising on legal, regulatory or procedural matters | leading and motivating | supervising a team or group | presenting research or technical information | developing policies and legislation | providing financial advice | directing, supervising and coordinating projects","developing professional relationships or networks::0.153846 | advocating for individual or community needs::0.115385 | presenting general information::0.076923 | collaborating and liaising::0.076923 | mediating and resolving disputes::0.076923 | performing general clerical and administrative tasks::0.076923 | complying with operational procedures::0.076923 | management skills::0.076923 | advising on legal, regulatory or procedural matters::0.038462 | leading and motivating::0.038462 | supervising a team or group::0.038462 | presenting research or technical information::0.038462 | developing policies and legislation::0.038462 | providing financial advice::0.038462 | directing, supervising and coordinating projects::0.038462",15.0,official_title_exact,1111,Legislators,isco4_candidate_requires_validation,21,2.25,6.011904761904762,1.25,7.5
1111.5,member of parliament,member of parliament,http://data.europa.eu/esco/occupation/5bca96fd-4203-400b-be58-9e9b50bc98da,member of parliament,"presenting general information | mediating and resolving disputes | promoting products, services, or programs | making decisions | presenting research or technical information | developing policies and legislation | developing professional relationships or networks | managing information | analysing and evaluating information and data | management skills | advising on legal, regulatory or procedural matters | monitoring developments in area of expertise | collaborating and liaising | complying with operational procedures | performing risk analysis and management","presenting general information::0.111111 | mediating and resolving disputes::0.111111 | promoting products, services, or programs::0.074074 | making decisions::0.074074 | presenting research or technical information::0.074074 | developing policies and legislation::0.074074 | developing professional relationships or networks::0.074074 | managing information::0.074074 | analysing and evaluating information and data::0.074074 | management skills::0.074074 | advising on legal, regulatory or procedural matters::0.037037 | monitoring developments in area of expertise::0.037037 | collaborating and liaising::0.037037 | complying with operational procedures::0.037037 | performing risk analysis and management::0.037037",15.0,official_title_exact,1111,Legislators,isco4_candidate_requires_validation,17,2.0,3.911764705882353,1.0,4.5
1111.6,secretary of state,secretary of state,http://data.europa.eu/esco/occupation/0ee67d5e-8de9-48f0-97c5-ba23d486b1e9,secretary of state,"advising on legal, regulatory or procedural matters | collaborating and liaising | mediating and resolving disputes | implementing new procedures or processes | presenting research or technical information | developing policies and legislation | monitoring financial and economic resources and activity | analysing and evaluating information and data | presenting general information | performing general clerical and administrative tasks | developing professional relationships or networks | technical or academic writing | providing financial advice | management skills | managing budgets or finances | directing, supervising and coordinating projects","advising on legal, regulatory or procedural matters::0.142857 | collaborating and liaising::0.107143 | mediating and resolving disputes::0.107143 | implementing new procedures or processes::0.071429 | presenting research or technical information::0.071429 | developing policies and legislation::0.071429 | monitoring financial and economic resources and activity::0.071429 | analysing and evaluating information and data::0.071429 | presenting general information::0.035714 | performing general clerical and administrative tasks::0.035714 | developing professional relationships or networks::0.035714 | technical or academic writing::0.035714 | providing financial advice::0.035714 | management skills::0.035714 | managing budgets or finances::0.035714 | directing, supervising and coordinating projects::0.035714",16.0,official_title_exact,1111,Legislators,isco4_candidate_requires_validation,28,3.0,5.1875,1.0,6.5625
1111.7,senator,senator,http://data.europa.eu/esco/occupation/73c3f018-71ce-4dc1-abdd-14cea7873717,senator,"presenting general information | mediating and resolving disputes | making decisions | presenting research or technical information | developing policies and legislation | developing professional relationships or networks | analysing and evaluating information and data | advising on legal, regulatory or procedural matters | promoting products, services, or programs | monitoring developments in area of expertise | collaborating and liaising | performing general clerical and administrative tasks | complying with operational procedures | management skills","presenting general information::0.130435 | mediating and resolving disputes::0.130435 | making decisions::0.086957 | presenting research or technical information::0.086957 | developing policies and legislation::0.086957 | developing professional relationships or networks::0.086957 | analysing and evaluating information and data::0.086957 | advising on legal, regulatory or procedural matters::0.043478 | promoting products, services, or programs::0.043478 | monitoring developments in area of expertise::0.043478 | collaborating and liaising::0.043478 | performing general clerical and administrative tasks::0.043478 | complying with operational procedures::0.043478 | management skills::0.043478",14.0,official_title_exact,1111,Legislators,isco4_candidate_requires_validation,0,,,,
1112,Senior government officials,senior government officials,,,,,,no_matrix_title_match,1112,Senior Government Officials,isco4_candidate_requires_validation,0,,,,
1112.1,central bank governor,central bank governor,http://data.europa.eu/esco/occupation/9e4269d5-e10e-4f49-ac99-65c833f933a2,central bank governor,"monitoring financial and economic resources and activity | analysing financial and economic data | executing financial transactions | preparing financial documents, records, reports, or budgets | mediating and resolving disputes | developing policies and legislation | developing financial, business or marketing plans | managing budgets or finances | advising on legal, regulatory or procedural matters | promoting products, services, or programs | monitoring developments in area of expertise | supervising a team or group | developing professional relationships or networks | management skills | advising and consulting","monitoring financial and economic resources and activity::0.258065 | analysing financial and economic data::0.129032 | executing financial transactions::0.064516 | preparing financial documents, records, reports, or budgets::0.064516 | mediating and resolving disputes::0.064516 | developing policies and legislation::0.064516 | developing financial, business or marketing plans::0.064516 | managing budgets or finances::0.064516 | advising on legal, regulatory or procedural matters::0.032258 | promoting products, services, or programs::0.032258 | monitoring developments in area of expertise::0.032258 | supervising a team or group::0.032258 | developing professional relationships or networks::0.032258 | management skills::0.032258 | advising and consulting::0.032258",15.0,official_title_exact,1112,Senior Government Officials,isco4_candidate_requires_validation,0,,,,
1112.2,consul,consul,http://data.europa.eu/esco/occupation/a8d05b64-f60b-4dd9-91c2-e2e63d82f2f5,consul,"developing professional relationships or networks | mediating and resolving disputes | developing policies and legislation | providing financial advice | making decisions | collaborating and liaising | developing solutions | assisting people to access services | verifying identities and documentation | performing risk analysis and management | management skills | analysing and evaluating information and data | advising on legal, regulatory or procedural matters | ensuring compliance with legislation | working with others | planning events and programmes | providing information to the public and clients | using foreign languages","developing professional relationships or networks::0.205882 | mediating and resolving disputes::0.088235 | developing policies and legislation::0.058824 | providing financial advice::0.058824 | making decisions::0.058824 | collaborating and liaising::0.058824 | developing solutions::0.058824 | assisting people to access services::0.058824 | verifying identities and documentation::0.058824 | performing risk analysis and management::0.058824 | management skills::0.029412 | analysing and evaluating information and data::0.029412 | advising on legal, regulatory or procedural matters::0.029412 | ensuring compliance with legislation::0.029412 | working with others::0.029412 | planning events and programmes::0.029412 | providing information to the public and clients::0.029412 | using foreign languages::0.029412",18.0,official_title_exact,1112,Senior Government Officials,isco4_candidate_requires_validation,11,5.0,3.6363636363636362,2.125,5.5
1112.3,diplomat,diplomat,http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4,diplomat,"developing professional relationships or networks | mediating and resolving disputes | advocating for individual or community needs | collaborating and liaising | performing risk analysis and management | advising on legal, regulatory or procedural matters | making decisions | developing solutions | working with others | conducting studies, investigations and examinations | developing policies and legislation | developing contingency and emergency response plans | using foreign languages | providing information to the public and clients | analysing and evaluating information and data | management skills","developing professional relationships or networks::0.166667 | mediating and resolving disputes::0.142857 | advocating for individual or community needs::0.095238 | collaborating and liaising::0.071429 | performing risk analysis and management::0.071429 | advising on legal, regulatory or procedural matters::0.047619 | making decisions::0.047619 | developing solutions::0.047619 | working with others::0.047619 | conducting studies, investigations and examinations::0.047619 | developing policies and legislation::0.047619 | developing contingency and emergency response plans::0.047619 | using foreign languages::0.047619 | providing information to the public and clients::0.023810 | analysing and evaluating information and data::0.023810 | management skills::0.023810",16.0,official_title_exact,1112,Senior Government Officials,isco4_candidate_requires_validation,7,0.25,0.39285714285714285,0.25,0.375
1112.3.1,ambassador,ambassador,http://data.europa.eu/esco/occupation/190ec9a5-938c-45a5-bd9c-c12b1af33353,ambassador,"developing professional relationships or networks | mediating and resolving disputes | advising on legal, regulatory or procedural matters | collaborating and liaising | advocating for individual or community needs | developing contingency and emergency response plans | management skills | analysing and evaluating information and data | performing risk analysis and management | using foreign languages | conducting studies, investigations and examinations | working with others | planning events and programmes | complying with operational procedures | developing operational policies and procedures | assisting and supporting co-workers | presenting general information | protecting and enforcing","developing professional relationships or networks::0.166667 | mediating and resolving disputes::0.119048 | advising on legal, regulatory or procedural matters::0.095238 | collaborating and liaising::0.071429 | advocating for individual or community needs::0.047619 | developing contingency and emergency response plans::0.047619 | management skills::0.047619 | analysing and evaluating information and data::0.047619 | performing risk analysis and management::0.047619 | using foreign languages::0.047619 | conducting studies, investigations and examinations::0.047619 | working with others::0.047619 | planning events and programmes::0.047619 | complying with operational procedures::0.023810 | developing operational policies and procedures::0.023810 | assisting and supporting co-workers::0.023810 | presenting general information::0.023810 | protecting and enforcing::0.023810",18.0,official_title_exact,1112,Senior Government Officials,isco4_candidate_requires_validation,18,1.0,1.3611111111111112,0.8125,2.0
1112.3.2,embassy counsellor,embassy counsellor,http://data.europa.eu/esco/occupation/a2494c65-11a8-4853-9371-c89333c33be1,embassy counsellor,"developing professional relationships or networks | supervising a team or group | performing risk analysis and management | advising on legal, regulatory or procedural matters | providing information to the public and clients | advocating for individual or community needs | analysing and evaluating information and data | developing policies and legislation | conducting studies, investigations and examinations | performing general clerical and administrative tasks | working with others | mediating and resolving disputes | training on operational procedures | communicating with colleagues and clients | management skills | developing solutions | using foreign languages","developing professional relationships or networks::0.222222 | supervising a team or group::0.083333 | performing risk analysis and management::0.083333 | advising on legal, regulatory or procedural matters::0.055556 | providing information to the public and clients::0.055556 | advocating for individual or community needs::0.055556 | analysing and evaluating information and data::0.055556 | developing policies and legislation::0.055556 | conducting studies, investigations and examinations::0.055556 | performing general clerical and administrative tasks::0.055556 | working with others::0.055556 | mediating and resolving disputes::0.027778 | training on operational procedures::0.027778 | communicating with colleagues and clients::0.027778 | management skills::0.027778 | developing solutions::0.027778 | using foreign languages::0.027778",17.0,official_title_exact,1112,Senior Government Officials,isco4_candidate_requires_validation,2,1.125,1.125,0.6875,1.5625
1112.4,fire commissioner,fire commissioner,http://data.europa.eu/esco/occupation/f2413988-f76a-4636-a4b1-9952517aa21f,fire commissioner,"installing wooden and metal components | complying with health and safety procedures | developing contingency and emergency response plans | allocating and controlling physical resources | presenting general information | performing risk analysis and management | teaching safety procedures | managing budgets or finances | advising on workplace health and safety issues | advising on legal, regulatory or procedural matters | directing operational activities | training on operational procedures","installing wooden and metal components::0.148148 | complying with health and safety procedures::0.148148 | developing contingency and emergency response plans::0.148148 | allocating and controlling physical resources::0.074074 | presenting general information::0.074074 | performing risk analysis and management::0.074074 | teaching safety procedures::0.074074 | managing budgets or finances::0.074074 | advising on workplace health and safety issues::0.074074 | advising on legal, regulatory or procedural matters::0.037037 | directing operational activities::0.037037 | training on operational procedures::0.037037",12.0,official_title_exact,1112,Senior Government Officials,isco4_candidate_requires_validation,1,3.0,3.0,3.0,3.0
